,index,date,rank,song_name,song_id,album_name,artist,release_date
22,22,2021-11-17 02:17:59.933,23,Toxic,2gQPv5jvVPqU2a9HhMNO1v,Toxic,BoyWithUke,2021-10-29
23,23,2021-11-17 02:17:59.933,24,good 4 u,4ZtFanR9U6ndgddUvNcjcG,SOUR,Olivia Rodrigo,2021-05-21
24,24,2021-11-17 02:17:59.933,25,Need to Know,3Vi5XqYrmQgOYBajMWSvCi,Planet Her,Doja Cat,2021-06-25
25,25,2021-11-17 02:17:59.933,26,I Knew You Were Trouble (Taylor's Version),6AtZLIzUINvExIUy4QhdjP,Red (Taylor's Version),Taylor Swift,2021-11-12
26,26,2021-11-17 02:17:59.933,27,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,MONTERO,Lil Nas X,2021-09-17
27,27,2021-11-17 02:17:59.933,28,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),4IQkfUsrwXol38VV3U7t7T,Red (Taylor's Version),Taylor Swift,2021-11-12
28,28,2021-11-17 02:17:59.933,29,Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Billie Eilish,2021-07-30
29,29,2021-11-17 02:17:59.933,30,Beggin',3Wrjm47oTz2sjIgck11l5e,Chosen,Måneskin,2017-12-08
30,30,2021-11-17 02:17:59.933,31,Moth To A Flame (with The Weeknd),2gpWyfu7eZ01zzncHpxOtA,Moth To A Flame,Swedish House Mafia,2021-10-22
31,31,2021-11-17 02:17:59.933,32,LA FAMA (with The Weeknd),6dmXZ9B5HdFAyzHeTneYBK,LA FAMA (with The Weeknd),ROSALÍA,2021-11-11
32,32,2021-11-17 02:17:59.933,33,Leave The Door Open,1LPSkqVhWVRUkKE03YUkpB,An Evening With Silk Sonic,Bruno Mars,2021-11-11
33,33,2021-11-17 02:17:59.933,34,Kiss Me More (feat. SZA),3DarAbFujv6eYNliUTyqtz,Planet Her,Doja Cat,2021-06-25
34,34,2021-11-17 02:17:59.933,35,State Of Grace (Taylor's Version),6lzc0Al0zfZOIFsFvBS1ki,Red (Taylor's Version),Taylor Swift,2021-11-12
